COUNTRY;ISO3;Human Development Inde;Multidimensional Poverty Inde;Development & Deprivation;Gender Inequality Inde;Gini Inde;Inequality;Total public Aid (M US$);Public Aid per capita (US$);Public Aid per capita (US$);Net ODA received (% of GNI);Aid Dependency Inde;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted people (total population);Total/Pop;Total Uprooted people (percentage of the total population);Uprooted people;Estimated number of people living with HIV - Adult (>15) rate;Tuberculosis prevalence;Malaria mortality rate;Health Conditions;Child Mortality;Malnutrition in children under 5;Children Under 5;Total affected by Natural Disasters last 3 years (1,000 people);Natural Disasters % of total pop;Recent Shocks;Food Availability Score;Food Utilization Score;Domestic Food Price Level Inde;Domestic Food Price Volatility Inde;Food Acces Score;Food Security;Other Vulnerable Groups;INFORM Vulnerable Groups
Guinea-Bissau;GNB;8,1;9,9;9,2;;6,4;6,4;162,17499;89,31826218;1,8;10;5,9;7,7;9,323;3,2;0,005134664;4,8;4;6,2;6,8;8;7;6,8;3,8;5,3;0;0;0;6,7;7,8;;;;7,3;5,5;4,8
Guyana;GUY;4,8;0;2,7;6,8;;6,8;31,95;41,31627577;0,8;1,3;1,1;3,3;0,011;0;1,42E-05;0;0;3,2;1,7;2;2,3;2,5;1,9;2,2;53,024;0,068568207;6,9;4,3;1,2;;;;2,8;3,9;2,2
Haiti;HTI;7;4,3;5,8;7,9;8,9;8,4;1626,32018;149,9281003;3;8,9;6;6,5;49,653;5,7;0,004577438;4,6;5,2;4,2;3,4;0,4;2,7;5,2;2,6;3,9;3007,35425;0,27724363;10;7,3;10;9,7;1,7;8,1;8,5;7,5;6,5
Honduras;HND;5;1,1;3,3;6,1;6,4;6,3;431,889313;47,39335195;0,9;1,4;1,2;3,5;190,022;7,6;0,020852055;6,7;7,2;0,8;0,7;0;0,5;1,4;1,6;1,5;273,4885;0,030011247;3;4,7;3,3;4,2;2,4;3,8;3,9;2,3;5,2
Hungary;HUN;1,8;;1,8;3,4;1,4;2,4;0;0;0;;0;1,5;5,069;2,3;0,000516299;2,7;2,5;;0,2;;0,2;0,4;;0,4;2,439;0,000248422;0;3,9;0;1,6;2,9;1,9;1,9;0,7;1,6
Iceland;ISL;0,4;;0,4;0,7;0,5;0,6;0;0;0;;0;0,4;0,308;0;0,00092146;3,1;1,6;;0;;0;0,2;;0,2;0;0;0;2,3;0;0,9;2,7;1,3;1,2;0,4;1
India;IND;5;5,2;5,1;7,1;2,2;4,7;3794,065537;2,865237506;0,1;0,1;0,1;3,8;997,642;10;0,000753409;3;6,5;0,6;3,8;0,3;1,6;3,3;9,7;6,5;33699,75375;0,025449692;2,5;5,5;3,2;4,1;4,2;4,1;4,3;4;5,4
Indonesia;IDN;4;0;2,2;6,2;2,6;4,4;-12,502258;-0,047880191;0;0;0;2,2;15,979;4;6,12E-05;1,6;2,8;0,8;7,1;0,8;2,9;2;4,4;3,2;863,267;0,003306074;0,3;3,6;1;6,4;5,4;6,2;3,6;2,6;2,7
Iran;IRN;2,7;;2,7;6,8;3,1;5;226,858094;2,825926427;0,1;0;0,1;2,6;978,701;10;0,012191485;5,9;8;0,2;0,3;0;0,2;1,2;;1,2;220,8695;0,002751328;0,3;2,8;0,2;3,9;6,5;4,4;2,5;1,1;5,5
Iraq;IRQ;4,6;0,1;2,6;7;1,1;4,1;6537,847286;175,7364326;3,5;0,9;2,2;2,9;2597,255;10;0,069813856;9,1;9,6;;0,8;;0,8;2,4;1,9;2,2;22,77325;0,000612142;0,1;5,3;7,6;4,5;8,2;5,2;6;2,6;7,5
